Código genérico,Nombre producto genérico,Descripción producto genérico,Tipo producto,Código ONU,Clasificación ONU,Clasificación interna,Estado Código genérico,Canasta Intermediación,Canasta Esencial de Medicamentos,Fecha inicio abastecimiento,Estado producto Intermediación,Motivo eliminación Intermediación,Canasta Programa Ministerial,Detalle Programas Ministeriales,Canasta Farmacia Privada,Prioridad
100003342,GUANTE NITRILO ALTO RIESGO TALLA L,"GUANTE DE ALTO RIESGO TALLA L, COMPOSICIÓN NITRILO, NO ESTERIL, LIBRE DEPOLVO O TALCO, LIBRE DE LÁTEX, LARGO MINIMO 400 MM, GROSOR PUÑO MÍNIMO0,09 MM, GROSOR DE PUNTA DE DEDO MINIMO 0,16 MM, GROSOR DE PALMA  MINIMO0,12 MM. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR UNIDAD.",Insumos,42132203,Guantes médicos de e,Guantes,Inactivo,,0,,,,,,,
100003343,GUANTE ALTO RIESGO NITRILO TALLA XL,"GUANTE DE ALTO RIESGO TALLA XL, COMPOSICION NITRILO, NO ESTERIL, LIBRE DEPOLVO O TALCO, LIBRE DE LATEX, LARGO MINIMO 300 MM, GROSOR PUÑO MINIMO0,09 MM, GROSOR DE PUNTA DE DEDO MINIMO 0,16 MM, GROSOR DE PALMA MINIMO0,12 MM. DEBE ADJUNTAR RESOLUCION EXENTA DE PRODUCTO CON REGISTRO EN CHILE EMITIDA POR EL INSTITUTO DE SALUD PUBLICA (ISP) QUE INCORPORA AL REGISTRO DE FABRICANTES E IMPORTADORES DE ELEMENTOS DE PROTECCION PERSONAL (EPP), LA CUAL IDENTIFICA EL EPP, MARCA, MODELO, ORGANISMO CERTIFICADOR Y NORMA CORRESPONDIENTE. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.",Insumos,42132203,Guantes médicos de e,Guantes,Inactivo,,0,,,,,,,
100003344,BOTA BLANCA PVC SIN PUNTA ACERO PAR,"BOTA BLANCA PVC SIN PUNTA ACERO PAR. DEBE ADJUNTAR RESOLUCION EXENTA DEPRODUCTO CON REGISTRO EN CHILE EMITIDA POR EL INSTITUTO DE SALUD PUBLICA (ISP) QUE INCORPORA AL REGISTRO DE FABRICANTES E IMPORTADORES DE ELEMENTOS DE PROTECCION PERSONAL (EPP), LA CUAL IDENTIFICA EL EPP, MARCA, MODELO, ORGANISMO CERTIFICADOR Y NORMA CORRESPONDIENTE. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR PAR.",Insumos,46181604,NULL,Guantes,Inactivo,,0,,,,,,,
100003350,VIDEO CONFERENCIA MOVIL DUAL,"EQUIPO VIDEO CONFERENCIA MOVIL. INCLUYE ILUMINACION, ACCESORIOS,CAPACITACIÓN Y TRANSPORTE. ENVASE RESITENTE QUE ASEGURE INVIOLABILIDADDEL CONTENIDO.",Insumos,42261810,Contenedores para el,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003351,"BOLSA ZIPLOC C/CIERRE DESLI 26,8X24,1 CM",BOLSA ALMACENAJE TIPO ZIPLOC CON CIERRE IMPERMEABLE Y DESLIZABLE DE 26.8X 24.1 CM. PARA USO DE ACCIONES EN SALUD. ENVASE RESISTENTE CON SELLOQUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.,Insumos,24111503,Bolsas de plástico,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003359,OVEROL TALLA XL,"OVEROL TALLA XL. DEBE ADJUNTAR RESOLUCION EXENTA DE PRODUCTO CON REGISTRO EN CHILE EMITIDA POR EL INSTITUTO DE SALUD PUBLICA (ISP) QUE INCORPORA AL REGISTRO DE FABRICANTES E IMPORTADORES DE ELEMENTOS DE PROTECCION PERSONAL (EPP), LA CUAL IDENTIFICA EL EPP, MARCA, MODELO, ORGANISMO CERTIFICADOR Y NORMA CORRESPONDIENTE. ENVASE RESISTENTE CON SELLO QUE ASEGURELA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.",Insumos,53102100,NULL,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003361,BOLSA TRANSPORTE CADAVER C C/CIERRE,BOLSA TRANSPORTE CADAVER CON DOBLE SISTEMA DE CIERRE CON CAPA PARAVISUALIZAR INTERIOR 88-100 CM ANCHO X 230-250 CM LARGO. ENVASERESISTENTE QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO,Insumos,42261810,Contenedores para el,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003362,CAJA TRANSPORTE EQUIPO HERMETICA,"CAJA METALICA ACERO INOXIDABLE, CON MANGO EXTENSIBLE  CON PORTA CANDADO,RUEDAS, 794X615X444 MM ANCHOXFONDOXALTO PARA TRANSPORTE EQUIPOSPROTECCION HERMETICA CON GOMA ESPUMA. ENVASE RESISTENTE QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO.",Insumos,24121500,NULL,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003370,EQUIPO VIDEO CONFERENCIA MOVIL,"EQUIPO VIDEO CONFERENCIA MOVIL. INCLUYE ILUMINACION, ACCESORIOS,CAPACITACIÓN Y TRANSPORTE CAJA 1 UN. ENVASE RESITENTE QUE ASEGUREINVIOLABILIDAD DEL CONTENIDO",Insumos,41113308,Analizadores de elec,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003371,ELOSULFASE ALFA 5MG/5ML SOL PERF FAM,ELOSULFASE ALFA 5MG/5ML SOLUCION PARA INFUSION INTRAVENOSA FRASCOAMPOLLA. ENVASE INDIVIDUAL RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.,Refrigerados,12352204,Enzimas,Fármacos terapia enzimática,Activo,Intermediación,0,18/12/2014,OK,,Programas Ministeriales,Enf. Lisosomales-Judicializados,,si
100003372,PACK HIGIENE BUCAL INFANTIL,"PACK HIGIENE BUCAL INFANTIL QUE DEBE CONTENER 2 CEPILLOS + 1 PASTA DEDIENTES SEGÚN LAS SIGUIENTES ESPECIFICACIONES:CEPILLO DENTAL INFANTIL PARA NIÑOS ENTRE 2 Y 5 AÑOS DE EDAD DE CABEZAPEQUEÑA Y CERDAS SUAVES O EXTRA SUAVES. PUEDE TENER DISEÑOS INFANTILESSIN DISTINCION DE GENERO O DE COLORES (VERDE, AMARILLO, NARANJO, ROJO).PASTA DENTAL SABORIZADA PARA NIÑOS PEQUEÑOS (NO INCLUYE FORMATO EN GEL)CONCENTRACION DE 500 A 1100 PPM DE FLUOR, PESO DE ENTRE 80 A 130 GRAMOS.PUEDE TENER DISEÑOS INFANTILES SIN DISTINCION DE GENERO O DE COLORES(VERDE, AMARILLO, NARANJO O ROJO).ESTE PACK DEBE VENIR EN UN ESTUCHE PLASTICO U OTRO MATERIAL SIMILARLAVABLE,  QUE PERMITA CONTENER LOS CEPILLOS Y LA PASTA CON SISTEMA QUEPERMITA EL CIERRE, CON LOGO DEL PROGRAMA SEMBRANDO SONRISAS IMPRESOSEGUN ESPECIFICACIONES INFORMADAS EN EL ANEXO Nº 2A",Fármacos,53131502,NULL,Fármacos dentales,Inactivo,,0,,,,,,,
100003373,BARNIZ FLUORURO DE SODIO AL 5% MONODOSIS,BARNIZ DE FLUORURO DE SODIO AL 5% FORMATO MONODOSIS. ENVASES DE AL MENOS200 UNIDADES. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO.,Insumos,51212101,Fluoruros de sodio,Antisépticos,Inactivo,,0,,,,,,,
100003374,CAMARA AISLACION MEDICA,"CAMARA AISLACION MEDICA Y UTI:-SIN CONTAMINACION DE LA AERONAVE O AMBULANCIA-PUESTA EN ESTADO OPERACIONAL EN CUESTION DE MINUTOS-CON ACOPLE A CUALQUIER TIPO DE CAMILLA-PERMITE ABUNDANTE FLUJO DE AIRE, QUE HACE QUE NO HAYA CALENTAMIENTO DELPACIENTE-FACIL CUIDADO DEL PACIENTE DESDE FUERA DE LA CAMARA-FACIL DE LIMPIAR-DE ALMACENAMIENTO COMPACTOCODIGO BETH-EL N36-6ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.",Insumos,41113308,Analizadores de elec,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003375,FILTRO HEPA CON ENTRADA AIRE,FILTRO HEPA CON ENTRADA DE AIRE ENVASE RESISTENTE QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO,Insumos,41104919,Filtros de aire reco,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003376,BLOWER LB 36 (VENTILADOR),BLOWER LB36 (VENTILADOR) ENVASE RESISTENTE QUE ASEGURE INVIOLABILIDADDEL CONTENIDO,Insumos,42272206,Ventiladores de cuid,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003377,REPUESTO CAMARA DE AISLAMIENTO,REPUESTO CAMARA DE AISLAMIENTO ENVASE RESISTENTE QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO,Insumos,41103406,Cajas de aislamiento,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003378,MANGUERA FLEXIBLE CON ANILLO SEGURIDAD,MANGUERA FLEXIBLE CON ANILLO SEGURIDAD ENVASE RESISTENTE QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO,Insumos,40141901,NULL,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003379,FILTRO DE PARTICULAS AF 36,FILTRO DE PARTICULAS AF 36 ENVASE RESISTENTE QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO,Insumos,41104919,Filtros de aire reco,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003380,TINA ANTI DERRAME,TINA ANTI DERRAME ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO.,Insumos,30181507,NULL,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003381,GUANTE PVC PAR,"GUANTE PVC PAR. DEBE ADJUNTAR RESOLUCION EXENTA DE PRODUCTO CON REGISTRO EN CHILE EMITIDA POR EL INSTITUTO DE SALUD PUBLICA (ISP) QUE INCORPORAAL REGISTRO DE FABRICANTES E IMPORTADORES DE ELEMENTOS DE PROTECCION PERSONAL (EPP), LA CUAL IDENTIFICA EL EPP, MARCA, MODELO, ORGANISMO CERTIFICADOR Y NORMA CORRESPONDIENTE. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR UNIDAD.",Insumos,42132203,Guantes médicos de e,Dispositivos y accesorios médicos,Inactivo,,0,,,,,,,
100003382,ANTITOXINA DIFTERICA 10000UI AM/FAM 10ML,ANTITOXINA DIFTERICA 10.000 UI 1 DOSIS AMPOLLA O FRASCO AMPOLLA  10 MLVÍA DE ADMINISTRACIÓN INTRAVENOSA-INTRAMUSCULAR ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLAVILIDAD DEL CONTENIDO.,Refrigerados,51201604,Difteria,"Vacunas, antígenos y toxoides",Inactivo,,0,,,,Programas Ministeriales,Stock Crítico,,
100003384,TOXINA BOTULINICA TIPO A DIST/ESPASM X U,"TOXINA CLOSTRIDIUM BOTULINUM TIPO A, INDICACION DISTONIA Y ESPASMOHEMIFACIAL, PRESENTACION DE ENVASES DESDE 200 U. ENVASE RESISTENTE CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.",Refrigerados,51152005,Toxina botulínica,"Vacunas, antígenos y toxoides",Inactivo,,0,,,,,,,
100003385,TOXINA BOTULINICA TIPO A BLEFAR X TRATAM,"TOXINA CLOSTRIDIUM BOTULINUM TIPO A, INDICACION BLEFAROESPASMO,PRESENTACION DE ENVASES DESDE 200 U. ENVASE RESISTENTE CON SELLO QUEASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR TRATAMIENTO.",Refrigerados,51152005,Toxina botulínica,"Vacunas, antígenos y toxoides",Inactivo,,0,,,,,,,
100003386,"N,N-DIETIL-M-TOLUAMID>=25% REPELEN FRA","REPELENTE EL CUAL DEBE CONTENER AL MENOS 25% DEET (N,N-DIETIL-M-TOLUAMIDA) PRESENTACION EN FRASCO ATOMIZADOR O PULVERIZADOR (BOMBAMANUAL) USO TOPICO.PRESENTACION HASTA 200 ML. ENVASE INDIVIDUAL CONSELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO.",Fármacos,10191509,Insecticidas,Productos cosméticos,Activo,Intermediación,0,13/1/2015,OK,,Programas Ministeriales,Epid. Emergente,,si
100003387,MCF KIT EXTR ARN ADN KINGFISHER FLEX,"MATERIAL DE CONTINUIDAD DE FUNCIONAMIENTO: KIT DE EXTRACCION DE ACIDOSNUCLEICOS TOTALES (ADN Y ARN) PARA VIRUS RESPIRATORIOS, ENVASADO ENCAJA. EL KIT DE EXTRACCION DEBE SER COMPATIBLE CON EL EQUIPO DEEXTRACCION AUTOMATIZADA KINGFISHER FLEX. CADA UNO DE LOS COMPONENTES DELKIT DEBEN SER ENVASADOS DE FORMA INDIVIDUAL, RESISTENTE CON SELLO QUEASEGURE LA INVIOLABILIDAD DEL CONTENIDO. EL KIT DEBE PERMITIR ENTRE 5 A100 EXTRACCIONES (DEBE CONTENER LOS COMPONENTES SUFICIENTES PARAREALIZAR EL TOTAL DE EXTRACCIONES).EL PRECIO SERA EVALUADO POR NUMERO DEEXTRACCIONES. COTIZAR POR KIT.",Insumos,41116104,Kits de ensayo quími,Kit de diagnóstico,Inactivo,,0,,,,,,,
100003388,MCF KIT EXTR ARN ADN MAELSTROM ALATHEIA,"MATERIAL DE CONTINUIDAD DE FUNCIONAMIENTO: KIT DE EXTRACCION DE ACIDOSNUCLEICOS TOTALES (ADN Y ARN) PARA VIRUS RESPIRATORIOS, ENVASADO ENCAJA. EL KIT DE EXTRACCION DEBE SER COMPATIBLE CON EL EQUIPO DEEXTRACCION AUTOMATIZADA MAELSTROM DE ALATHEIA. CADA UNO DE LOSCOMPONENTES DEL KIT DEBEN SER ENVASADOS DE FORMA INDIVIDUAL, RESISTENTECON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. EL KIT DEBEPERMITIR ENTRE 5 A 100 EXTRACCIONES (DEBE CONTENER LOS COMPONENTESSUFICIENTES PARA REALIZAR EL TOTAL DE EXTRACCIONES). EL PRECIO SERAEVALUADO POR NUMERO DE EXTRACCIONES. COTIZAR POR KIT.",Insumos,41116104,Kits de ensayo quími,Kit de diagnóstico,Activo,,0,,,,,,,si
100003389,MCF KIT EXTR ARN ADN ZYBIO EXM 3000,"MATERIAL DE CONTINUIDAD DE FUNCIONAMIENTO: KIT DE EXTRACCION DE ACIDOSNUCLEICOS TOTALES (ADN Y ARN) PARA VIRUS RESPIRATORIOS, ENVASADO ENCAJA. EL KIT DE EXTRACCION DEBE SER COMPATIBLE CON EL EQUIPO DEEXTRACCION AUTOMATIZADA ZYBIO EXM 3000.  CADA UNO DE LOS COMPONENTES DELKIT DEBEN SER ENVASADOS DE FORMA INDIVIDUAL, RESISTENTE CON SELLO QUEASEGURE LA INVIOLABILIDAD DEL CONTENIDO. EL KIT DEBE PERMITIR ENTRE 5 A100 EXTRACCIONES (DEBE CONTENER LOS COMPONENTES SUFICIENTES PARAREALIZAR EL TOTAL DE EXTRACCIONES). EL PRECIO SERA EVALUADO POR NUMERODE EXTRACCIONES. COTIZAR POR KIT.",Insumos,41116104,Kits de ensayo quími,Kit de diagnóstico,Activo,,0,,,,,,,si
100003390,LEVONORGESTREL 2X75MG IMPLANTE SUBDERMIC,LEVONORGESTREL 2 X 75 MG IMPLANTE SUBDERMICO CONTENIENDO 2 VARILLAS CILINDRICAS FLEXIBLES CON TROCAR Y APLICADOR ESTERIL DESECHABLE. UNIDAD DE DESPACHO EN CAJA QUE CONTIENE DOS VARILLAS DE 75MG. DEBE INCORPORAR FOLLETO INFORMATIVO PROFESIONAL QUE CONTENGA LOS PASOS DE PREPARACION DEL PRODUCTO EN ESPAÑOL. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAJA.,Fármacos,51181832,Combinación de etono,"Estrógenos, progestágenos y anticoncep.",Activo,Intermediación,0,30/12/2019,OK,,Programas Ministeriales,Prog. Mujer,,si
100003400,"JERINGA 2,5-3ML C/AG 21GX1,5 L-LOC H100U","JERINGA 2,5 A 3 ML CON AGUJA 21G X 1,5 PULGADAS, PUNTA LUER LOCK CONTOPE DE GOMA, DESECHABLE, ESTERIL, LIBRE LATEX. ROTULO DEBE SEÑALARDESECHABLE, ESTERIL, NUMERO DE REGISTRO SANITARIO. CARACTERISTICA LIBREDE LATEX RESPALDADO EN ROTULO DE ORIGEN O EN CERTIFICADO EMITIDO POR ELFABRICANTE. ENVASE INDIVIDUAL ESTERIL RESISTENTE CON SELLO QUE ASEGURELA INVIOLABILIDAD DEL CONTENIDO. UNIDAD DE DESPACHO EN CAJA DE HASTA 100UNIDADES. COTIZAR POR UNIDAD.",Insumos,42142609,Jeringas médicas con,Jeringas y accesorios,Activo,Intermediación,0,,OK,,,,,
100003401,PRESERVATIVO MASCULINO CON LUBRICANTE,"PRESERVATIVO MASCULINO (EXTERNO O DE PENE) RESISTENTE, DE UN SOLO USO,LARGO MINIMO 16CM, DIAMETRO 4,4 A 5,6 CM SIN ESTIRAR, CON LUBRICANTE ABASE DE AGUA O SILICONA, SIN ESPERMICIDA. DISPOSITIVO LISO TRANSPARENTEEN FORMA DE FUNDA CILINDRICA DE LATEX DE CAUCHO NATURAL (COMO UN DEDO DEGUANTE) CON UNA PROLONGACION MAS ANGOSTA EN SU EXTREMO DISTAL. ELEXTREMO ABIERTO DEBE TERMINAR EN UN REBORDE QUE RODEA TODA LACIRCUNFERENCIA. ENVASE UNITARIO SELLADO DE FORMA CUADRADA, FACIL DEABRIR, CON MUESCA PARA EVITAR DAÑO MECANICO EN LA APERTURA, DE MATERIALOPACO A LA LUZ, SUFICIENTEMENTE RESISTENTE PARA EVITAR DAÑOS EN ELTRANSPORTE Y ALMACENAMIENTO. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. UNIDAD DE DESPACHO EN CAJA DE 144UNIDADES. ENVASADO EN CAJA. COTIZAR POR UNIDAD.",Insumos,42143103,Dispositivos anticon,Dispositivos y accesorios médicos,Activo,Intermediación,0,,OK,,,,,si
100003402,PROGESTERONA MICRONIZADA 100 MG CP,PROGESTERONA MICRONIZADA 100 MG CAPSULAS ENVASADO EN BLISTER. DEBE INCORPORAR 1 FOLLETO INFORMATIVO AL PACIENTE POR CADA BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR CAPSULA.,Fármacos,51181818,Progesterona,"Estrógenos, progestágenos y anticoncep.",Activo,Intermediación,0,13/1/2016,OK,,Programas Ministeriales,Prog. Mujer,,si
100003404,DEXMEDETOMIDINA 100MCG/ML SOL.INY 2A4 ML,DEXMEDETOMIDINA 100 MCG/ML SOLUCION INYECTABLE PARA ADMINISTRACIONINTRAVENOSA AMPOLLA O FRASCO AMPOLLA 2ML A 4ML. ENVASE RESISTENTE CONSELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. PRECIO SERA EVALUADO PORML. COTIZAR POR AMPOLLA O FRASCO AMPOLLA.,Fármacos,51141812,Clorhidrato de dexme,"Hipnóticos, inductores del sueño",Activo,Intermediación,1,19/10/2015,OK,,,,,si
100003405,ANIDULAFUNGINA 100MG POLVO LIOF. FAM,"ANIDULAFUNGINA 100 MG POLVO LIOFILIZADO PARA SOLUCION INYECTABLE PARAADMINISTRACION INTRAVENOSA, EN FRASCO AMPOLLA. ENVASE RESISTENTE CONSELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCOAMPOLLA",Refrigerados,51101835,Acetato de caspofung,Fungicidas o antimicóticos,Activo,Intermediación,1,26/8/2019,OK,,,,,si
100003406,BEVACIZUMAB 100 MG/4 ML SOL. P/INF. FAM,"BEVACIZUMAB 100 MG/4 ML CONCENTRADO SOLUCION PARA INFUSION  VIA DE ADMINISTRACIÓN INTRAVENOSA, FRASCO AMPOLLA 4 ML. ENVASE RESISTENTE CON SELLOQUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.",Refrigerados,51201509,Daclizumab,Anticuerpos monoclonales,Activo,Intermediación,1,9/1/2020,OK,,,,,si
100003407,DASATINIB 70 MG CM REC.,DASATINIB 70 MG COMPRIMIDO RECUBIERTO  ENVASADO EN FRASCO HASTA 60 COMPRIMIDOS O BLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR COMPRIMIDO.,Fármacos,51111606,Hidroxiurea,Inhibidores quinasa,Activo,Intermediación,1,16/6/2016,OK,,,,,si
100003408,OXALIPLATINO 50 MG/10ML SOL.INY. FAM,OXALIPLATINO 50 MG/10ML SOLUCION INYECTABLE PARA ADMINISTRACION INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LAINVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.,Fármacos,51111506,Cisplatino,Otros citostáticos y coadyuvantes,Activo,Intermediación,1,26/6/2018,OK,,,,,si
100003409,TOCILIZUMAB 400 MG/20 ML SOL. P/INF. FAM,TOCILIZUMAB 400 MG/20 ML SOLUCION PARA INFUSION INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.,Refrigerados,51201509,Daclizumab,"Antiartrósico, antirreumático",Activo,Intermediación,1,25/6/2016,OK,,Programas Ministeriales,Artritis Juvenil,,si
100003410,TEOFILINA 250 MG CM/CP DE LIB. PROLON,TEOFILINA 250 MG COMPRIMIDOS DE LIBERACIÓN PROLONGADA O CAPSULASDELIBERACION PROLONGADA O CAPSULAS CON GRANULOS DE LIBERACION PROLONGADAO CAPSULAS CON MICROGRANULOS DE LIBERACION PROLONGADA ENVASADA ENBLISTER. ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DELCONTENIDO. COTIZAR POR CAPSULA O COMPRIMIDO DE LIBERACION PROLONGADA.,Fármacos,51161505,Teofilina,Broncodilatadores,Activo,Intermediación,1,8/10/2015,OK,,,,,si
100003411,MCF KIT EXTR ARN ADN MAGLEAD 12GC,"MATERIAL DE CONTINUIDAD DE FUNCIONAMIENTO: KIT DE EXTRACCION DE ACIDOSNUCLEICOS TOTALES (ADN Y ARN) PARA VIRUS RESPIRATORIOS, ENVASADO ENCAJA. EL KIT DE EXTRACCION DEBE SER COMPATIBLE CON EL EQUIPODEEXTRACCION AUTOMATIZADA MAGLEAD 12GC. CADA UNO DE LOS COMPONENTESDELKIT DEBEN SER ENVASADOS DE FORMA INDIVIDUAL, RESISTENTE CON SELLOQUEASEGURE LA INVIOLABILIDAD DEL CONTENIDO. EL KIT DEBE PERMITIR ENTRE 1A 100 EXTRACCIONES (DEBE CONTENER LOS COMPONENTES SUFICIENTESPARAREALIZAR EL TOTAL DE EXTRACCIONES).EL PRECIO SERA EVALUADO PORNUMERO DEEXTRACCIONES. COTIZAR POR KIT.",Insumos,41116104,Kits de ensayo quími,Kit de diagnóstico,Activo,Intermediación,0,,OK,,,,,
100003412,"DUTASTERIDA 0,5 MG CM/CP","DUTASTERIDA 0,5 MG CAPSULA O CAPSULA BLANDA ENVASADO EN BLISTER. ENVASERESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZARPOR CAPSULA O CAPSULA BLANDA.",Fármacos,51182014,Dutasterida,Andrógenos e inhibidores androgénicos,Activo,Intermediación,1,22/10/2015,OK,,,,Farmacias Privadas,si
100003413,PEMETREXED 500MG POLVO O LIOF. FAM.,PEMETREXED 500 MG POLVO O LIOFILIZADO PARA SOLUCION INYECTABLE INTRAVENOSA FRASCO AMPOLLA. ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR FRASCO AMPOLLA.,Fármacos,51111617,Clorhidrato de gemci,Antimetabolitos,Activo,Intermediación,1,26/6/2018,OK,,,,,si
100003414,ELTROMBOPAG 25MG CM REC,ELTROMBOPAG 25 MG COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER. ENVASERESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZARPOR COMPRIMIDO RECUBIERTO.,Fármacos,51131507,Darbepoetina alfa,Medicamentos antianémicos,Activo,Intermediación,1,20/6/2017,OK,,,,,si
100003415,"LATANOP/TIMOLOL 50MCG/5MG/ML FRA2,5 A5ML","LATANOPROST/TIMOLOL 50 MCG/5 MG/ML SOLUCION OFTALMICA FRASCO 2,5 A 5 ML. ENVASE RESISTENTE CON SELLO QUE ASEGURE INVIOLABILIDAD DEL CONTENIDO. PRECIO SERA EVALUADO POR ML. COTIZAR POR FRASCO.",Refrigerados,51241110,Latanoprost,Oftálmicos,Activo,Intermediación,1,8/10/2015,OK,,,,,si
100003416,LANREOTIDE 120 MG SOL INY LIB PROLON JRP,LANREOTIDE 120 MG SOLUCION INYECTABLE DE LIBERACION PROLONGADA JERINGAPRELLENDA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DELCONTENIDO. COTIZAR POR JERINGA PRELLENADA.,Refrigerados,51182304,Acetato de octreotid,H. del crecimiento e inhibidores,Activo,Intermediación,1,29/6/2016,OK,,,,,si
100003417,METOXIPOLIETILENGLICOL-EPOE. B 75MCG JRP,"METOXIPOLIETILENGLICOL-EPOETINA BETA 75 MCG/ 0,3 ML SOLUCIONINYECTABLEPARA ADMINISTRACION INTRAVENOSA-SUBCUTANEA, JERINGAPRELLENADA. ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDADDEL CONTENIDO. COTIZAR POR JERINGA PRELLENADA.",Refrigerados,51131508,Epoetina alfa,Medicamentos antianémicos,Activo,Intermediación,1,2/10/2020,OK,,,,,si
100003418,TIAMAZOL 10 MG CM/CM REC,TIAMAZOL 10 MG COMPRIMIDO O COMPRIMIDO RECUBIERTO ENVASADO EN BLISTER.ENVASE RESISTENTE CON SELLO QUE ASEGURE LA INVIOLABILIDAD DEL CONTENIDO.COTIZAR POR COMPRIMIDO O COMPRIMIDO RECUBIERTO.,Fármacos,51181605,Metimazol,Hormonas tiroideas y antitiroideas,Activo,Intermediación,1,25/4/2017,OK,,,,Farmacias Privadas,si
100003419,ILOPROST 10 MCG/ML SOL.P/INH.NEB. AM 2ML,"ILOPROST 10 MCG/ML SOLUCIÓN PARA INHALACIÓN POR NEBULIZADOR, AMPOLLA2ML.  DEBE INCLUIR PARA LA ADMINISTRACIÓN DEL MEDICAMENTO UN KIT DEENTREGA INICIAL A PACIENTE QUE CONTENGA: UNIDAD BASE RECARGABLE YCARGADOR, UNIDAD NEBULIZADORA, BOQUILLA Y MALLA VIBRATORIA, CON SUSRESPECTIVOS RECAMBIOS SEGÚN CORRESPONDA. ENVASE RESISTENTE CON SELLOQUEASEGURE INVIOLABILIDAD DEL CONTENIDO. COTIZAR POR AMPOLLA.",Fármacos,51122107,Tartrato de ifenprod,Vasodilatadores,Inactivo,,0,,,,,,,
